,날짜,종가,전일비,시가,고가,저가,거래량
1,2024.04.29,76700.0,보합0,77400.0,77600.0,76200.0,14249224.0
2,2024.04.26,76700.0,상승  400,77800.0,77900.0,76500.0,12755629.0
3,2024.04.25,76300.0,"하락  2,300",77300.0,77500.0,76300.0,15549134.0
4,2024.04.24,78600.0,"상승  3,100",77500.0,78800.0,77200.0,22166150.0
5,2024.04.23,75500.0,하락  600,76400.0,76800.0,75500.0,18717699.0
9,2024.04.22,76100.0,"하락  1,500",77400.0,77500.0,75100.0,30469477.0
10,2024.04.19,77600.0,"하락  2,000",78300.0,78700.0,76300.0,31317563.0
11,2024.04.18,79600.0,상승  700,78800.0,80100.0,78300.0,21370190.0
12,2024.04.17,78900.0,"하락  1,100",80700.0,80800.0,78900.0,22611631.0
13,2024.04.16,80000.0,"하락  2,200",81200.0,81300.0,79400.0,31949845.0
1,2024.04.15,82200.0,"하락  1,500",82900.0,83200.0,81200.0,26663772.0
2,2024.04.12,83700.0,하락  400,84700.0,84900.0,83200.0,17061770.0
3,2024.04.11,84100.0,상승  500,83200.0,84700.0,82500.0,25538009.0
4,2024.04.09,83600.0,하락  900,84500.0,84900.0,83100.0,23725956.0
5,2024.04.08,84500.0,보합0,85200.0,86000.0,84500.0,18953232.0
9,2024.04.05,84500.0,하락  800,84500.0,85000.0,83800.0,18883752.0
10,2024.04.04,85300.0,"상승  1,200",85200.0,85500.0,84300.0,25248934.0
11,2024.04.03,84100.0,하락  900,84300.0,85000.0,83500.0,30493347.0
12,2024.04.02,85000.0,"상승  3,000",82900.0,85000.0,82900.0,37077944.0
13,2024.04.01,82000.0,하락  400,83200.0,83300.0,82000.0,20116513.0
1,2024.03.29,82400.0,"상승  1,600",81200.0,82500.0,80900.0,27126366.0
2,2024.03.28,80800.0,"상승  1,000",79400.0,81000.0,79200.0,25084812.0
3,2024.03.27,79800.0,하락  100,79200.0,80000.0,79200.0,17424595.0
4,2024.03.26,79900.0,"상승  1,700",79700.0,80100.0,79200.0,30551494.0
5,2024.03.25,78200.0,하락  700,79600.0,79800.0,77800.0,18703996.0
9,2024.03.22,78900.0,하락  400,79600.0,79900.0,77800.0,26724761.0
10,2024.03.21,79300.0,"상승  2,400",79200.0,79300.0,77700.0,44569799.0
11,2024.03.20,76900.0,"상승  4,100",73700.0,77200.0,73400.0,50106297.0
12,2024.03.19,72800.0,보합0,72300.0,73000.0,71700.0,15376066.0
13,2024.03.18,72800.0,상승  500,72600.0,73000.0,72500.0,11520348.0
1,2024.03.15,72300.0,"하락  2,000",73400.0,73700.0,72300.0,22580555.0
2,2024.03.14,74300.0,상승  200,74400.0,74500.0,73600.0,22545539.0
3,2024.03.13,74100.0,상승  800,73700.0,74100.0,73500.0,15243134.0
4,2024.03.12,73300.0,상승  900,72600.0,73500.0,72100.0,13011654.0
5,2024.03.11,72400.0,하락  900,72900.0,73100.0,72300.0,9740504.0
9,2024.03.08,73300.0,"상승  1,100",72800.0,73400.0,72600.0,19271349.0
10,2024.03.07,72200.0,하락  700,73100.0,73300.0,72200.0,14516963.0
11,2024.03.06,72900.0,하락  800,73200.0,73500.0,72700.0,21547905.0
12,2024.03.05,73700.0,"하락  1,200",74600.0,74800.0,73700.0,19505125.0
13,2024.03.04,74900.0,"상승  1,500",74300.0,75000.0,74000.0,23210474.0
1,2024.02.29,73400.0,상승  200,72600.0,73400.0,72000.0,21176403.0
2,2024.02.28,73200.0,상승  300,72900.0,73900.0,72800.0,11795859.0
3,2024.02.27,72900.0,상승  100,73100.0,73400.0,72700.0,13201981.0
4,2024.02.26,72800.0,하락  100,72300.0,73200.0,72200.0,14669352.0
5,2024.02.23,72900.0,하락  200,73600.0,74200.0,72900.0,16225166.0
9,2024.02.22,73100.0,상승  100,73800.0,73900.0,72700.0,15208934.0
10,2024.02.21,73000.0,하락  300,73400.0,73700.0,72900.0,11503495.0
11,2024.02.20,73300.0,하락  500,73700.0,73700.0,72800.0,14681477.0
12,2024.02.19,73800.0,"상승  1,000",72800.0,73900.0,72800.0,12726404.0
13,2024.02.16,72800.0,하락  200,73300.0,73400.0,72500.0,13444781.0
1,2024.02.15,73000.0,"하락  1,000",74200.0,74400.0,73000.0,14120600.0
2,2024.02.14,74000.0,"하락  1,200",73700.0,74300.0,73700.0,12434945.0
3,2024.02.13,75200.0,"상승  1,100",74800.0,75200.0,74400.0,21966745.0
4,2024.02.08,74100.0,하락  900,75000.0,75200.0,73600.0,20810708.0
5,2024.02.07,75000.0,상승  600,74600.0,75500.0,74300.0,16566445.0
9,2024.02.06,74400.0,상승  100,74300.0,74700.0,73300.0,14559254.0
10,2024.02.05,74300.0,하락  900,74200.0,74800.0,73500.0,19026021.0
11,2024.02.02,75200.0,"상승  1,600",74000.0,75200.0,73700.0,14955881.0
12,2024.02.01,73600.0,상승  900,73000.0,74200.0,72900.0,19881033.0
13,2024.01.31,72700.0,"하락  1,600",73400.0,74000.0,72500.0,15703560.0
1,2024.01.30,74300.0,하락  100,75000.0,75300.0,73700.0,12244418.0
2,2024.01.29,74400.0,"상승  1,000",73800.0,75200.0,73500.0,13976521.0
3,2024.01.26,73400.0,하락  700,73700.0,74500.0,73300.0,11160062.0
4,2024.01.25,74100.0,상승  100,74200.0,74800.0,73700.0,11737747.0
5,2024.01.24,74000.0,"하락  1,200",75200.0,75200.0,73500.0,12860661.0
9,2024.01.23,75200.0,상승  100,75700.0,75800.0,74300.0,14786224.0
10,2024.01.22,75100.0,상승  400,75900.0,76000.0,75000.0,19673375.0
11,2024.01.19,74700.0,"상승  3,000",73500.0,74700.0,73000.0,23363427.0
12,2024.01.18,71700.0,상승  700,71600.0,72000.0,70700.0,17853397.0
13,2024.01.17,71000.0,"하락  1,600",73100.0,73300.0,71000.0,22683660.0
1,2024.01.16,72600.0,"하락  1,300",73500.0,73700.0,72500.0,14760415.0
2,2024.01.15,73900.0,상승  800,73200.0,74000.0,73200.0,13212339.0
3,2024.01.12,73100.0,하락  100,73000.0,74100.0,72800.0,13038939.0
4,2024.01.11,73200.0,하락  400,72900.0,73600.0,72700.0,57691266.0
5,2024.01.10,73600.0,"하락  1,100",75000.0,75200.0,73200.0,20259529.0
9,2024.01.09,74700.0,"하락  1,800",77400.0,77700.0,74300.0,26019249.0
10,2024.01.08,76500.0,하락  100,77000.0,77500.0,76400.0,11088724.0
11,2024.01.05,76600.0,보합0,76700.0,77100.0,76400.0,11304316.0
12,2024.01.04,76600.0,하락  400,76100.0,77300.0,76100.0,15324439.0
13,2024.01.03,77000.0,"하락  2,600",78500.0,78800.0,77000.0,21753644.0
1,2024.01.02,79600.0,"상승  1,100",78200.0,79800.0,78200.0,17142847.0
2,2023.12.28,78500.0,상승  500,77700.0,78500.0,77500.0,17797536.0
3,2023.12.27,78000.0,"상승  1,400",76700.0,78000.0,76500.0,20651042.0
4,2023.12.26,76600.0,상승  700,76100.0,76700.0,75700.0,13164909.0
5,2023.12.22,75900.0,상승  900,75800.0,76300.0,75400.0,14515608.0
9,2023.12.21,75000.0,상승  200,74600.0,75000.0,74300.0,13478766.0
10,2023.12.20,74800.0,"상승  1,400",74200.0,74900.0,73800.0,16870156.0
11,2023.12.19,73400.0,상승  500,73000.0,73400.0,72800.0,8907632.0
12,2023.12.18,72900.0,하락  400,73300.0,73400.0,72800.0,9690551.0
13,2023.12.15,73300.0,상승  200,73800.0,74000.0,73200.0,15419815.0
1,2023.12.14,73100.0,상승  300,74100.0,74300.0,72500.0,27567593.0
2,2023.12.13,72800.0,하락  700,73300.0,73500.0,72800.0,13116766.0
3,2023.12.12,73500.0,상승  500,73300.0,73500.0,73100.0,13758646.0
4,2023.12.11,73000.0,상승  400,72800.0,73000.0,72200.0,9861960.0
5,2023.12.08,72600.0,"상승  1,100",72100.0,72800.0,71900.0,10859463.0
9,2023.12.07,71500.0,하락  200,71800.0,71900.0,71100.0,8862017.0
10,2023.12.06,71700.0,상승  500,71800.0,72100.0,71600.0,8123087.0
11,2023.12.05,71200.0,"하락  1,400",72300.0,72400.0,71200.0,12129682.0
12,2023.12.04,72600.0,상승  600,72800.0,72900.0,72400.0,10229267.0
13,2023.12.01,72000.0,하락  800,72400.0,72500.0,71700.0,9871284.0
